Name,Host,Camera,Booth
xkmerlz,True,False,True
AliceD,True,False,True
jef67,True,False,True
djnotmerlz,True,True,True
kımaa,True,False,True
MarcoIsNotReal,True,False,True
Luc❤,True,False,True
generalkek,True,False,True
Spurg Churgler,True,False,True
SUBSYSTEM,True,True,True
Noosphere,True,False,True

Dunay_,True,False,True
-Dragoo-,True,False,True
KrayG,True,False,True
Auzlex,True,False,True
_nutz,True,False,True
AkiraShyFox,True,False,True
Bert_,True,False,True
«Oly»,True,False,True
EmoThePenguin,True,False,True
ʙʟᴇᴀᴋ,True,False,True
Burgerbeast,True,False,True
Martinoz,True,False,True
Manca-san,True,False,True
N8-Core,True,False,True
჻ ʀᴀɪɴʏ,True,False,True
Captivated,True,False,True
AyyyyRik,True,False,True
